ILA-N-294	CMRDM-II-COLBASA-1
ILA-N-295	CMRDM-II-COLBASA-2
ILA-N-296	CMRDM-II-CONANA-1
ILA-N-297	CMRDM-II-CONANA-2
ILA-N-298	CMRDM-II-CONANA-3
ILA-N-299	CMRDM-II-CONANA-4
ILA-N-300	CMRDM-II-LYSINIA-1
ILA-N-301	CMRDM-II-OLBASA-1
ILA-N-302	CMRDM-II-OLBASA-2
ILA-N-303	CMRDM-II-OLBASA-3
ILA-N-304	CMRDM-II-OLBASA-4
ILA-N-305	CMRDM-II-PALAEOPOLIS-1
ILA-N-306	CMRDM-II-PALAEOPOLIS-2
ILA-N-307	CMRDM-II-PALAEOPOLIS-3
ILA-N-308	CMRDM-II-PALAEOPOLIS-4
ILA-N-309	CMRDM-II-PAPPA-TIBERIA-1
ILA-N-310	CMRDM-II-PARLAIS-1
ILA-N-311	CMRDM-II-PARLAIS-2
ILA-N-312	CMRDM-II-PARLAIS-3
ILA-N-313	CMRDM-II-PARLAIS-4
ILA-N-314	CMRDM-II-PARLAIS-5
ILA-N-315	CMRDM-II-PARLAIS-6
ILA-N-316	CMRDM-II-PARLAIS-7
ILA-N-317	CMRDM-II-PARLAIS-8
ILA-N-318	CMRDM-II-PARLAIS-9
ILA-N-319	CMRDM-II-PROSTANNA-1
ILA-N-320	CMRDM-II-PROSTANNA-2
ILA-N-321	CMRDM-II-SAGALASSUS-1
ILA-N-322	CMRDM-II-SAGALASSUS-2
ILA-N-323	CMRDM-II-SAGALASSUS-3
ILA-N-324	CMRDM-II-SAGALASSUS-4
ILA-N-325	CMRDM-II-SAGALASSUS-5
ILA-N-326	CMRDM-II-SAGALASSUS-6
ILA-N-327	CMRDM-II-SAGALASSUS-7
ILA-N-328	CMRDM-II-SAGALASSUS-8
ILA-N-329	CMRDM-II-SAGALASSUS-9
ILA-N-330	CMRDM-II-SAGALASSUS-10
ILA-N-331	CMRDM-II-SAGALASSUS-11
ILA-N-332	CMRDM-II-SAGALASSUS-12
ILA-N-333	CMRDM-II-SAGALASSUS-13
ILA-N-334	CMRDM-II-SAGALASSUS-14
ILA-N-335	CMRDM-II-SAGALASSUS-15
ILA-N-336	CMRDM-II-SAGALASSUS-16
ILA-N-337	CMRDM-II-SAGALASSUS-17
ILA-N-338	CMRDM-II-SAGALASSUS-18
ILA-N-339	CMRDM-II-SAGALASSUS-19
ILA-N-340	CMRDM-II-SAGALASSUS-20
ILA-N-341	CMRDM-II-SAGALASSUS-21
ILA-N-342	CMRDM-II-SAGALASSUS-22
ILA-N-343	CMRDM-II-SAGALASSUS-23
ILA-N-344	CMRDM-II-SAGALASSUS-24
ILA-N-345	CMRDM-II-SAGALASSUS-25
ILA-N-346	CMRDM-II-SAGALASSUS-26
ILA-N-347	CMRDM-II-SAGALASSUS-27
ILA-N-348	CMRDM-II-SELEUCEIA-1
ILA-N-349	CMRDM-II-SELEUCEIA-2
ILA-N-350	CMRDM-II-SELEUCEIA-3
ILA-N-351	CMRDM-II-SELEUCEIA-4
ILA-N-352	CMRDM-II-SELEUCEIA-5
ILA-N-353	CMRDM-II-SELEUCEIA-6
ILA-N-354	CMRDM-II-SELEUCEIA-7
ILA-N-355	CMRDM-II-SELEUCEIA-8
ILA-N-356	CMRDM-II-SELEUCEIA-9
ILA-N-357	CMRDM-II-SELEUCEIA-10
ILA-N-358	CMRDM-II-SELEUCEIA-11
ILA-N-359	CMRDM-II-SELEUCEIA-12
ILA-N-360	CMRDM-II-SELEUCEIA-13
ILA-N-361	CMRDM-II-SELEUCEIA-14
ILA-N-362	CMRDM-II-SIBIDUNDA-1
ILA-N-363	CMRDM-II-TIMBRIAS-1
ILA-N-364	CMRDM-II-TIMBRIAS-2
ILA-N-365	CMRDM-II-TIMBRIAS-3
ILA-N-366	CMRDM-II-TIMBRIAS-4
ILA-N-367	CMRDM-II-ATTALEIA-1
ILA-N-368	CMRDM-II-ATTALEIA-2
ILA-N-369	CMRDM-II-SILLYON-1
ILA-N-370	CMRDM-II-SILLYON-2
ILA-N-371	CMRDM-II-SILLYON-3
ILA-N-372	CMRDM-II-SILLYON-4
ILA-N-373	CMRDM-II-SILLYON-5
ILA-N-374	CMRDM-II-SILLYON-6
ILA-N-375	CMRDM-II-SILLYON-7
ILA-N-376	CMRDM-II-SILLYON-8
ILA-N-377	CMRDM-II-SILLYON-9
ILA-N-378	CMRDM-II-SILLYON-10
ILA-N-379	CMRDM-II-SILLYON-11
ILA-N-380	CMRDM-II-SILLYON-12
ILA-N-381	CMRDM-II-SILLYON-13
ILA-N-382	CMRDM-II-SILLYON-14
ILA-N-383	CMRDM-II-SILLYON-15
ILA-N-384	CMRDM-II-SILLYON-16
ILA-N-385	CMRDM-II-SILLYON-17
ILA-N-386	CMRDM-II-SILLYON-18
ILA-N-387	CMRDM-II-SILLYON-19
ILA-N-388	CMRDM-II-SILLYON-20
ILA-N-389	CMRDM-II-SILLYON-21
ILA-N-390	CMRDM-II-SILLYON-22
ILA-N-391	CMRDM-II-SILLYON-23
ILA-N-392	CMRDM-II-SILLYON-24
ILA-N-393	CMRDM-II-SILLYON-25
ILA-N-394	CMRDM-II-SILLYON-26
ILA-N-395	CMRDM-II-SILLYON-27
ILA-N-396	CMRDM-II-SILLYON-28
ILA-N-397	CMRDM-II-SILLYON-29
ILA-N-398	CMRDM-II-SILLYON-30
ILA-N-399	CMRDM-II-SILLYON-31
ILA-N-400	CMRDM-II-SILLYON-32
ILA-N-401	CMRDM-II-SILLYON-33
ILA-N-402	CMRDM-II-SILLYON-34
ILA-N-403	CMRDM-II-SILLYON-35
ILA-N-404	CMRDM-II-SILLYON-36
ILA-N-405	CMRDM-II-SILLYON-37
ILA-N-406	CMRDM-II-SILLYON-38
ILA-N-407	CMRDM-II-SILLYON-39
ILA-N-408	CMRDM-II-SILLYON-40
ILA-N-409	CMRDM-II-SILLYON-41
ILA-N-410	CMRDM-II-SILLYON-42
ILA-N-411	CMRDM-II-SILLYON-43
ILA-N-412	CMRDM-II-SILLYON-44
ILA-N-413	CMRDM-II-SILLYON-45
ILA-N-414	CMRDM-II-SILLYON-46
ILA-N-415	CMRDM-II-SILLYON-47
ILA-N-416	CMRDM-II-SILLYON-48
ILA-N-417	CMRDM-II-SILLYON-49
ILA-N-418	CMRDM-II-SILLYON-50
ILA-N-419	CMRDM-II-SILLYON-51
ILA-N-420	CMRDM-II-SILLYON-52
ILA-N-421	CMRDM-II-SILLYON-53
ILA-N-422	CMRDM-II-SILLYON-54
ILA-N-423	CMRDM-II-GALATIA-1
ILA-N-424	CMRDM-II-GALATIA-2
ILA-N-425	CMRDM-II-GALATIA-3
ILA-N-426	CMRDM-II-GALATIA-4
ILA-N-427	CMRDM-II-GALATIA-5
ILA-N-428	CMRDM-II-GALATIA-6
ILA-N-429	CMRDM-II-GALATIA-7
ILA-N-430	CMRDM-II-GALATIA-8
ILA-N-431	CMRDM-II-ANCYRA-1
ILA-N-432	CMRDM-II-ANCYRA-2
ILA-N-433	CMRDM-II-ANCYRA-3
ILA-N-434	CMRDM-II-ANCYRA-4
ILA-N-435	CMRDM-II-ANCYRA-5
ILA-N-436	CMRDM-II-ANCYRA-6
ILA-N-437	CMRDM-II-ANCYRA-7
ILA-N-438	CMRDM-II-ANCYRA-8
ILA-N-439	CMRDM-II-ANCYRA-9
ILA-N-440	CMRDM-II-ANCYRA-10
ILA-N-441	CMRDM-II-ANCYRA-11
ILA-N-442	CMRDM-II-ANCYRA-12
ILA-N-443	CMRDM-II-ANCYRA-13
ILA-N-444	CMRDM-II-ANCYRA-14
ILA-N-445	CMRDM-II-ANCYRA-15
ILA-N-446	CMRDM-II-UNCERTAIN-ANCYRA-1
ILA-N-447	CMRDM-II-GERME-1
ILA-N-448	CMRDM-II-PESSINUS-1
ILA-N-449	CMRDM-II-PESSINUS-2
ILA-N-450	CMRDM-II-PESSINUS-3
ILA-N-451	CMRDM-II-PESSINUS-4
ILA-N-452	CMRDM-II-LAODICEIA-AD-LIBANUM-1
ILA-N-453	CMRDM-II-LAODICEIA-AD-LIBANUM-2
ILA-N-454	CMRDM-II-LAODICEIA-AD-LIBANUM-3
ILA-N-455	CMRDM-II-LAODICEIA-AD-LIBANUM-4
ILA-N-456	CMRDM-II-IMPERIAL-CISTOPHORI-1
ILA-N-457	CMRDM-II-G1
ILA-N-458	CMRDM-II-G2
ILA-N-459	CMRDM-II-G3
ILA-N-460	CMRDM-II-G4
ILA-N-461	CMRDM-II-G5
ILA-N-462	CMRDM-II-G6
ILA-N-463	CMRDM-II-G7
ILA-N-464	CMRDM-II-G8
ILA-N-465	CMRDM-II-G9
ILA-N-466	CMRDM-II-G10
ILA-N-467	CMRDM-II-G11
ILA-N-468	CMRDM-II-G12
ILA-N-469	CMRDM-II-G13
ILA-N-470	CMRDM-II-G14
ILA-N-471	CMRDM-II-G15
ILA-N-472	CMRDM-II-G16
ILA-N-473	CMRDM-II-G17
ILA-N-474	CMRDM-II-G18
ILA-N-475	CMRDM-II-G19
