dicitura,occorrenze,markup_interno,schede_ILA
"Lane, I, p. 51, no. 38",1,,ILA-042
"Lane, CMRDM I 73",1,,ILA-043
"Herrmann, op. cit., p. 50, no. 44, Plate XII, no. 4",1,,ILA-043
"Lane, CMRDM I 74",1,,ILA-044
"L. Robert, Hellenica, X, 1955, p. 163 and Plate 29, no. 1",1,,ILA-044
"Lane, I, p. 19, no. 28",1,,ILA-044
"Lane, CMRDM I 75",1,,ILA-045
"Drexler, op. cit., col. 2708",1,,ILA-045
"Kontoleon, REG, V, 1892, p. 341",1,,ILA-045
"T. Homolle, BCH, XVIII, 1894, p. 539",1,,ILA-045
"AM, XX, 1895, p. 242",1,,ILA-045
"*Buresch, Harmonia, 1 and 12 April, 1895",1,,ILA-045
"K-P, II Reise, p. 175",1,,ILA-045
"Lane, I, p. 21, no. 30",1,,ILA-045
"Lane, CMRDM I 76",1,,ILA-046
"T. Homolle, op. cit., p. 542",1,,ILA-046
"AM, XX, 1895, p. 501",1,,ILA-046
"*Buresch, Harmonia, May 12, 1895",1,,ILA-046
"Lane, I, p. 21, no. 31",1,,ILA-046
"Lane, CMRDM I 77",1,,ILA-047
"K-P, I Reise, p. 15-16, no. 25",1,,ILA-047
"Steinleitner, op. cit., p. 46, no. 20",1,,ILA-047
"Sardis, VII, i, Leiden, 1932, p. 98, no. 96",1,,ILA-047
"Lane, I, p. 21, no. 32",1,,ILA-047
"Lane, CMRDM I 78",1,,ILA-048
"Sardis, VII, i, p. 98, no. 96a",1,,ILA-048
"Lane, I, p. 22, no. 32a",1,,ILA-048
"Lane, CMRDM I 79",1,,ILA-049
"Frontrier, Mouseion kai Bibliotheke, II, 2-3, 1876-8, p. 25",1,,ILA-049
"Drexler, op. cit., col. 2707",1,,ILA-049
"Perdrizet, op. cit., p. 71, note 1",1,,ILA-049
"Sardis, VII, i, pp. 37-40, no. 17",1,,ILA-049
"Lane, I, p. 22, no. 34",1,,ILA-049
"Lane, CMRDM I 81",1,,ILA-050
"Gardner, JHS, VI, 1885, pp. 346-7, no. 76",1,,ILA-050
"Sardis, VII, i, pp. 127-9, no. 152",1,,ILA-050
"L. Robert, RA, 1936, I, pp. 238-40",1,,ILA-050
"Lane, II, pp. 44-45, no. 6",1,,ILA-050
"Lane, CMRDM I 82",1,,ILA-051
"K-P, I Reise, p. 27, no. 38",1,,ILA-051
"Lane, I, p. 22, no. 35",1,,ILA-051
"Lane, CMRDM I 84",1,,ILA-052
"S. Reinach, RA, 1887, II, p. 96",1,,ILA-052
"A.E. Kontoleon, AM, XII, 1887, p. 253, no. 17",1,,ILA-052
"Lane, I, p. 22, no. 37",1,,ILA-052
"Lane, CMRDM I 85",1,,ILA-053
"Lane, I, p. 19, no. 28 (see appendix)",1,,ILA-053
"Lane, CMRDM I 86",1,,ILA-054
"Lane, I, p. 50",1,,ILA-054
"Lane, CMRDM I 87",1,,ILA-055
"W.A. Ramsay, JHS, IV, 1883, p. 417, no. 31",1,,ILA-055
"W.M. Ramsay, Cities and Bishoprics of Phrygia, Oxford, 1895, p. 609, no. 506",1,,ILA-055
"Perdrizet, op. cit., p. 62",1,,ILA-055
"Buresch, Aus Lydien, p. 131",1,,ILA-055
"F. Poland, Geschichte des Griechischen Vereinswesens, Leipzig, 1909, p. 53",1,,ILA-055
"Robert, Hellenica, III, 1946, p. 60, note 3 and Plate III A",1,,ILA-055
"Lane, I, p. 22, no. 1",1,,ILA-055
"Lane, CMRDM I 88",1,,ILA-056
"S. Reinach, REG, III, 1890, p. 51, no. 1",1,,ILA-056
"Perdrizet, op. cit., pp. 62-3",1,,ILA-056
"Lane, I, pp. 22-23, no. 2",1,,ILA-056
"Lane, CMRDM I 89",1,,ILA-057
