scheda,lane_ref,famiglia,lemma,sotto_funzione,forma_attestata,cert,verifica
ILA-229,"Lane, CMRDM I 241",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-230,"Lane, CMRDM I 242",atto-cultuale,εὐχή,voto,εὐχὴν,,auto
ILA-231,"Lane, CMRDM I 243",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-233,"Lane, CMRDM I 245",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-235,"Lane, CMRDM I 247",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-240,"Lane, CMRDM I 252",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-241,"Lane, CMRDM I 253",atto-cultuale,εὐχή,voto,εὐχὴν,,auto
ILA-242,"Lane, CMRDM I 254",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-243,"Lane, CMRDM I 255",atto-cultuale,εὐχή,voto,εὐχή,,auto
ILA-247,"Lane, CMRDM I 259",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-249,"Lane, CMRDM I 262",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-250,"Lane, CMRDM I 263",atto-cultuale,εὐχή,voto,εὐχή,,auto
ILA-251,"Lane, CMRDM I 264",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-252,"Lane, CMRDM I 265",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-253,"Lane, CMRDM I 266",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-254,"Lane, CMRDM I 267",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-257,"Lane, CMRDM I 270",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-260,"Lane, CMRDM I 273",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-261,"Lane, CMRDM I 274",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-262,"Lane, CMRDM I 275",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-265,"Lane, CMRDM I 278",atto-cultuale,εὐχή,voto,εὐχήν,low,auto
ILA-267,"Lane, CMRDM I 280",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-268,"Lane, CMRDM I 281",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-270,"Lane, CMRDM I 283",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-271,"Lane, CMRDM I 284",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-274,"Lane, CMRDM I 287",atto-cultuale,εὐχή,voto,εὐχήν,low,auto
ILA-275,"Lane, CMRDM I 288",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-276,"Lane, CMRDM I 289",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-277,"Lane, CMRDM I 290",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-278,"Lane, CMRDM I 291",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-280,"Lane, CMRDM I 293",atto-cultuale,εὐχή,voto,εὐχήν,low,auto
ILA-281,"Lane, CMRDM I 294",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-016,"Lane, CMRDM I 45",atto-cultuale,εὐχαριστέω,propiziazione,εὐχαριστοῦντες,,auto
ILA-031,"Lane, CMRDM I 60",atto-cultuale,εὐχαριστέω,propiziazione,εὐχαριστοῦντες,,auto
ILA-013,"Lane, CMRDM I 41",atto-cultuale,εὐχαριστία,propiziazione,εὐχαριστ,,auto
ILA-009,"Lane, CMRDM I 37",atto-cultuale,εὔχομαι,voto,εὐξαμένη,,auto
ILA-017,"Lane, CMRDM I 46",atto-cultuale,εὔχομαι,voto,εὐξάμε,,auto
ILA-021,"Lane, CMRDM I 50",atto-cultuale,εὔχομαι,voto,εὐξαμένη,,auto
ILA-039,"Lane, CMRDM I 68",atto-cultuale,εὔχομαι,voto,εὐξαμένη,,auto
ILA-107,"Lane, CMRDM I 12",atto-cultuale,καθαρίζω,norma-santuariale,καθαριζέσθαι,,auto
ILA-108,"Lane, CMRDM I 13",atto-cultuale,καθαρίζω,norma-santuariale,Καθαριζέσθω,,auto
ILA-107,"Lane, CMRDM I 12",atto-cultuale,καθιδρύω,consacrazione,καθειδρύσατο,,auto
ILA-108,"Lane, CMRDM I 13",atto-cultuale,καθιδρύω,consacrazione,καθειδρύσατο,,auto
ILA-110,"Lane, CMRDM I 28",atto-cultuale,καθιδρύω,consacrazione,καθείδρυται,,auto
ILA-045,"Lane, CMRDM I 75",atto-cultuale,καθιερόω,consacrazione,καθιέρωσαντα,,auto
ILA-037,"Lane, CMRDM I 66",atto-cultuale,λυτρόω,riscatto,ἐλυτρώσαντο,,auto
ILA-028,"Lane, CMRDM I 57",atto-cultuale,λύτρον,riscatto,ἐγλυτρω,,auto
ILA-032,"Lane, CMRDM I 61",atto-cultuale,λύτρον,riscatto,λύτρον,,auto
ILA-058,"Lane, CMRDM I 90",atto-cultuale,λύτρον,riscatto,λύτρον,,auto
ILA-273,"Lane, CMRDM I 286",atto-cultuale,λύτρον,riscatto,Λυτρόνιος,,auto
ILA-015,"Lane, CMRDM I 43",atto-cultuale,μαρτυρέω,registrazione-su-stele,μαρτυροῦμεν,,auto
ILA-034,"Lane, CMRDM I 63",atto-cultuale,μαρτυρέω,registrazione-su-stele,μαρτυροῦντες,low,auto
ILA-079,"Lane, CMRDM I 111",atto-cultuale,ναός,costruzione,ναὸν,,auto
ILA-150,"Lane, CMRDM I 162",atto-cultuale,σέβω,propiziazione,σέβων,,auto
ILA-086,"Lane, CMRDM I 118",atto-cultuale,στέφανος,onori-decretati,στεφάνους,,auto
ILA-149,"Lane, CMRDM I 161",atto-cultuale,στέφανος,onori-decretati,στέφαν,,auto
ILA-285,"Lane, CMRDM I 16",atto-cultuale,στέφανος,onori-decretati,στεφάνῳ,,auto
ILA-286,"Lane, CMRDM I 17",atto-cultuale,στέφανος,onori-decretati,στεφάνῳ,,auto
ILA-018,"Lane, CMRDM I 47",atto-cultuale,στηλογραφέω,registrazione-su-stele,στηλλογραφηθῆναι,,auto
ILA-033,"Lane, CMRDM I 62",atto-cultuale,στηλογραφέω,registrazione-su-stele,ἐστηλλογράφησα,,auto
ILA-101,"Lane, CMRDM I 44",atto-cultuale,στηλογραφέω,registrazione-su-stele,στηλογραφήσαντες,,auto
ILA-102,"Lane, CMRDM I 69",atto-cultuale,στηλογραφέω,registrazione-su-stele,στηλογραφῆσαι,,auto
ILA-105,"Lane, CMRDM I 260",atto-cultuale,τεκμωρεύω,tekmor,τεκμορεύσας,,auto
ILA-165,"Lane, CMRDM I 177",atto-cultuale,τεκμωρεύω,tekmor,τέκμορεύσαντες,,auto
ILA-168,"Lane, CMRDM I 180",atto-cultuale,τεκμωρεύω,tekmor,τεκμορεύσαντες,,auto
ILA-179,"Lane, CMRDM I 191",atto-cultuale,τεκμωρεύω,tekmor,τεκμορεύσαντες,,auto
ILA-180,"Lane, CMRDM I 192",atto-cultuale,τεκμωρεύω,tekmor,τεκμορεύσας,,auto
ILA-191,"Lane, CMRDM I 203",atto-cultuale,τεκμωρεύω,tekmor,τεκμορεύσας,,auto
ILA-196,"Lane, CMRDM I 208",atto-cultuale,τεκμωρεύω,tekmor,τεκμορεύσαντες,,auto
ILA-200,"Lane, CMRDM I 212",atto-cultuale,τεκμωρεύω,tekmor,τεκμορεύσας,,auto
ILA-216,"Lane, CMRDM I 228",atto-cultuale,τεκμωρεύω,tekmor,τεκμορεύσαντες,,auto
ILA-229,"Lane, CMRDM I 241",atto-cultuale,τεκμωρεύω,tekmor,τεκμορεύ,,auto
ILA-232,"Lane, CMRDM I 244",atto-cultuale,τεκμωρεύω,tekmor,τεκμορ,,auto
ILA-233,"Lane, CMRDM I 245",atto-cultuale,τεκμωρεύω,tekmor,τεκμορεύσαντες,,auto
ILA-234,"Lane, CMRDM I 246",atto-cultuale,τεκμωρεύω,tekmor,τερμορεύσαντες,,auto
ILA-241,"Lane, CMRDM I 253",atto-cultuale,τεκμωρεύω,tekmor,τεκμορεύσας,,auto
ILA-247,"Lane, CMRDM I 259",atto-cultuale,τεκμωρεύω,tekmor,Τεκμορεύσας,,auto
ILA-249,"Lane, CMRDM I 262",atto-cultuale,τεκμωρεύω,tekmor,τεκμορεύσας,,auto
ILA-251,"Lane, CMRDM I 264",atto-cultuale,τεκμωρεύω,tekmor,τεκμορεύσας,,auto
ILA-252,"Lane, CMRDM I 265",atto-cultuale,τεκμωρεύω,tekmor,τεκμορεύσας,,auto
ILA-253,"Lane, CMRDM I 266",atto-cultuale,τεκμωρεύω,tekmor,τεκμορεύσας,,auto
ILA-257,"Lane, CMRDM I 270",atto-cultuale,τεκμωρεύω,tekmor,τεκμορεύσας,,auto
ILA-260,"Lane, CMRDM I 273",atto-cultuale,τεκμωρεύω,tekmor,τεκμορε,,auto
ILA-261,"Lane, CMRDM I 274",atto-cultuale,τεκμωρεύω,tekmor,τεκμορεύσας,,auto
ILA-262,"Lane, CMRDM I 275",atto-cultuale,τεκμωρεύω,tekmor,τεκμορ,low,auto
ILA-266,"Lane, CMRDM I 279",atto-cultuale,τεκμωρεύω,tekmor,τεκμορεύσας,,auto
ILA-267,"Lane, CMRDM I 280",atto-cultuale,τεκμωρεύω,tekmor,τεκμορεύσαντες,,auto
ILA-271,"Lane, CMRDM I 284",atto-cultuale,τεκμωρεύω,tekmor,τεκμορεύσας,,auto
ILA-274,"Lane, CMRDM I 287",atto-cultuale,τεκμωρεύω,tekmor,τεκμορεύσα,,auto
ILA-276,"Lane, CMRDM I 289",atto-cultuale,τεκμωρεύω,tekmor,τεκμορεύσασα,,auto
ILA-277,"Lane, CMRDM I 290",atto-cultuale,τεκμωρεύω,tekmor,τεκμορεύσας,,auto
ILA-278,"Lane, CMRDM I 291",atto-cultuale,τεκμωρεύω,tekmor,τεκμορεύσαντες,,auto
ILA-280,"Lane, CMRDM I 293",atto-cultuale,τεκμωρεύω,tekmor,τεκμορεύσα,,auto
ILA-107,"Lane, CMRDM I 12",atto-cultuale,ἀκάθαρτος,norma-santuariale,ἀκάθαρτον,,auto
ILA-108,"Lane, CMRDM I 13",atto-cultuale,ἀκάθαρτος,norma-santuariale,ἀκάθαρτον,,auto
ILA-011,"Lane, CMRDM I 39",atto-cultuale,ἀνίστημι,dedica,ἀνέστησεν,,auto
ILA-014,"Lane, CMRDM I 42",atto-cultuale,ἀνίστημι,dedica,ἀνέστησε,,auto
ILA-044,"Lane, CMRDM I 74",atto-cultuale,ἀνίστημι,dedica,ἀνέστησαν,,auto
ILA-046,"Lane, CMRDM I 76",atto-cultuale,ἀνίστημι,dedica,συνανέστησεν,,auto
ILA-136,"Lane, CMRDM I 148",atto-cultuale,ἀνίστημι,dedica,ἀνέστησεν,,auto
ILA-139,"Lane, CMRDM I 151",atto-cultuale,ἀνίστημι,dedica,Ἀνέστησεν,,auto
ILA-001,"Lane, CMRDM I 29",atto-cultuale,ἀνατίθημι,dedica,ἀνέθηκεν,,auto
ILA-005,"Lane, CMRDM I 33",atto-cultuale,ἀνατίθημι,dedica,ἀνέθηκεν,,auto
ILA-006,"Lane, CMRDM I 34",atto-cultuale,ἀνατίθημι,dedica,ἀνέθηκαν,,auto
ILA-017,"Lane, CMRDM I 46",atto-cultuale,ἀνατίθημι,dedica,ἀνέθηκα,,auto
ILA-020,"Lane, CMRDM I 49",atto-cultuale,ἀνατίθημι,dedica,ἀνέθηκαν,,auto
ILA-027,"Lane, CMRDM I 56",atto-cultuale,ἀνατίθημι,dedica,ἀνέθηκεν,,auto
