scheda,fonte,riferimento,regione,similarita,divergenze,tipi,esempi,car_stampa,car_corpus
ILA-068,cmrdm-i,"CMRDM I 100","Asia Minor",0.333,1,"breve","ργτι→∅",5,1
ILA-243,cmrdm-i,"CMRDM I 255","Asia Minor",0.403,1,"blocco","ιον ιοσ κατ α τελ ετην μετ α τεκ νων μην ασκ αηνω ευχ ην τεκμορευσασ μωηνι ασκαηνω ευχην→∅",119,30
ILA-188,cmrdm-i,"CMRDM I 200","Asia Minor",0.426,4,"breve lettera blocco","τρε→∅ · ιϑιγι π→∅ · ι→∅ · ξα ν ζ ο ξε ον η ξκ σν νξ ον ξε ε μ θο ζ ξ→∅",74,20
ILA-096,cmrdm-i,"CMRDM I 7","Graecia",0.452,24,"blocco lettera breve numerale","ααιααααιχαου δ ιυυυσι→ε · ∅→ε · υ→∅ · πηκ→∅ · ον ππϑανο→∅ · αανθοο ον ιερευεε→∅",240,92
ILA-020,cmrdm-i,"CMRDM I 49","Asia Minor",0.457,6,"lettera breve numerale","υ→∅ · ∅→και μηνι τιαμ · ∅→γενου · ∅→κα · ∅→επιτ · μηνι αξιοττηνω τατιανη ερπου ευξαμενη ταυρον οπερ αδελφων και ακουσθεισα μη δυνασθεισα δε αποδουναι ταυρον ηρωτησε τον θεον και συνεχωρησε απολαβειν στηλλην τουσ τχ' μη νοσ πανημου→∅",269,112
ILA-060,cmrdm-i,"CMRDM I 92","Asia Minor",0.506,21,"breve lettera blocco","θ ι→∅ · ξ→∅ · ιαζονωι→∅ · γυν β→∅ · ογπεριπκζ νιδιωνγωτη ρι→∅ · γμηνιουρανι δκαπολλωνι ευχην α→∅",188,77
ILA-106,cmrdm-i,"CMRDM I 21","Dacia",0.511,3,"breve","ν→υγ · ικη→λασ · τ γ οη νοιο→ρ",29,18
ILA-098,cmrdm-i,"CMRDM I 9","Graecia",0.528,1,"blocco","ο α ε ια σε δι ανγελου πραθηναι το ειματιν και στηλλογραφησαι τασ δυναμεισ τουσ σμθ→∅",131,47
ILA-138,cmrdm-i,"CMRDM I 150","Asia Minor",0.529,40,"lettera breve blocco","χ→κ · δ λι σ→∅ · πεισβι→ν · σητα→∅ · χοιτο μην→∅ · καταχθο→∅",510,197
ILA-176,cmrdm-i,"CMRDM I 188","Asia Minor",0.533,1,"blocco","∅→μετα ζωτικου κοιντου μηνι ευ",16,44
ILA-259,cmrdm-i,"CMRDM I 272","Asia Minor",0.537,5,"breve lettera","ρο→∅ · ττον→ρ · ι→∅ · υ→μ · τεκ→α",26,15
ILA-156,cmrdm-i,"CMRDM I 168","Asia Minor",0.554,22,"breve blocco lettera","δγονοθετων→∅ · λ σι αυ→∅ · χαιχγ→∅ · αιι ζζ οφ ο→∅ · ε εν κιδιι→∅ · υγκαικεν γροκλουστζι αν ος δυγυροκπατ ζζσκκολωνειαο κα ιψφλαλι υωλιοιδνιαμ γλ αι φιδι δ ι δινοι πε σρομαιο νι αρχιερεφναιαβιου ππ γν σοοω λα μι ελξωο φλαονιανον ουι κιοκεινονζοωτι νεικηκαν ταπαιδ τανκρατιον αγωνι π αδ ι πιααλλιλδλνιζω ιχλι γω αγωνο→∅",559,275
ILA-181,cmrdm-i,"CMRDM I 193","Asia Minor",0.582,5,"lettera breve","∅→α · χ→μ · η συνοδ→∅ · ∅→ευ · κα πηβαν→∅",35,20
ILA-058,cmrdm-i,"CMRDM I 90","Asia Minor",0.587,10,"breve lettera","βυοκκιοτ ιπιο→∅ · ργθιδεοη γ→∅ · υ→∅ · χ→κ · ι→∅ · ρααϑϑι σι θιοθ οι→λ",127,57
ILA-279,cmrdm-i,"CMRDM I 292","Asia Minor",0.605,5,"breve lettera","τ τ τ τ τ ννη→∅ · τ τ λ τ εν ει→∅ · ο τ λ νν τ→∅ · χ→κ · ο ι→ρ",81,38
ILA-225,cmrdm-i,"CMRDM I 237","Asia Minor",0.612,1,"breve","∅→γαλλικοσ και ουαλε",15,34
ILA-254,cmrdm-i,"CMRDM I 267","Asia Minor",0.623,3,"breve","∅→τει · ∅→οθεοσ · ∅→αλεξανδρου ν μ",20,41
ILA-154,cmrdm-i,"CMRDM I 166","Asia Minor",0.624,26,"breve blocco lettera","∅→επι αγωνο · ιερεωσ δι→∅ · βι ο→∅ · θε→γ · μηνοσ και θεασ δημητ→∅ · γναιον δοτ γει→∅",320,193
ILA-189,cmrdm-i,"CMRDM I 201","Asia Minor",0.626,9,"breve lettera","δι→φλα · ν→∅ · σ→∅ · ι→πατρ · λ→ε · τα γυ→∅",60,39
ILA-145,cmrdm-i,"CMRDM I 157","Asia Minor",0.629,6,"breve lettera","δυυυ→μη · σδσν εσ τρο→∅ · τοσκαιβελ→∅ · ∅→α · ∅→δρ · ∅→νηνω",52,37
ILA-132,cmrdm-i,"CMRDM I 144","Asia Minor",0.645,13,"blocco breve lettera","π ευεηηυγγ νξ μηινοιν οι δι φ→∅ · αιυ τ→∅ · δεγαν ψυναυτφυλλνηλμμεχαριν επε ρκκισζ→∅ · λε ννν ιν τ καιταα κθ μι φ→∅ · ε→∅ · αετα→∅",398,194
ILA-108,cmrdm-i,"CMRDM I 13","Graecia",0.647,90,"breve lettera numerale blocco","γαιου ορβιου→∅ · σ λ→∅ · κιοσ→∅ · γαι→∅ · υ ο→∅ · β→∅",2421,1266
ILA-277,cmrdm-i,"CMRDM I 290","Asia Minor",0.650,7,"breve lettera blocco","∅→νιανοσ · ∅→νεοσ σου · ∅→μ · χ→κ · ν ννυντγτππποποππουοολχωηωεασεεοεπ→∅ · ∅→κοσ",102,95
ILA-212,cmrdm-i,"CMRDM I 224","Asia Minor",0.655,2,"breve","∅→μ εμην · ∅→ευχην ι κ πι",18,37
ILA-230,cmrdm-i,"CMRDM I 242","Asia Minor",0.655,8,"lettera breve","υ→∅ · ϑ→αμαρ · ττπ→αγων · πρ→∅ · π→εκμο · ηη→ευ",50,66
ILA-022,cmrdm-i,"CMRDM I 51","Asia Minor",0.655,57,"blocco breve lettera","διι ιολλδωνιος το πολλωνι ιουντος τοουλτιολλωνιουτονχδα ικοντπαραι του ξκολχουωλδλοσ→μ · τους προ→∅ · ξιρ→∅ · λενουσθεουσξιστπρο→η · θε σλλιδνα ποσχδουυναι→μη · ο συνα χθενκεφαλαιοναλιιτι→∅",994,584
ILA-051,cmrdm-i,"CMRDM I 82","Asia Minor",0.658,3,"breve lettera","μδγιηα→σελευκοσ · αιαβθη τ→σε · υ→∅",41,35
ILA-236,cmrdm-i,"CMRDM I 248","Asia Minor",0.659,4,"lettera breve","τ→ν · τ→ν · ∅→υμε ρ · ∅→νουστ α μηνι ευχην",32,56
ILA-226,cmrdm-i,"CMRDM I 238","Asia Minor",0.679,1,"breve","∅→οσ και τιττιανοσ",18,35
ILA-159,cmrdm-i,"CMRDM I 171","Asia Minor",0.686,4,"lettera numerale","∅→γ · ω→δ · χ→∅ · αγαθητυχη αγωνοθεττου νοσ διαβιουτ φ νβαιβια νουτιοντφικοο ππεθγρωμαιων τιατρων ειοκολωνιασ αρχιερε φοδιαβιουτουττια τριουθεουμην οοτα ρεντιονουλιπονιαρ κελλονινοικηοαν ιαλπαιδωνπακνκρα τιον αγωναμαξιμιανει ρουο β' ηπατριο θθμιδι υποεπιφταεν ιουλιον ν→∅",539,286
ILA-286,cmrdm-i,"CMRDM I 17","Graecia",0.687,11,"breve lettera blocco","διοδο→∅ · σ→∅ · το→∅ · γγενησ ε→∅ · υιοσ→∅ · ηφ→∅",115,115
ILA-172,cmrdm-i,"CMRDM I 184","Asia Minor",0.690,19,"breve lettera","προκλοσ→∅ · νυιοσ→∅ · νι→κ · σχα→∅ · ∅→ευ · α→∅",197,119
ILA-055,cmrdm-i,"CMRDM I 87","Asia Minor",0.694,9,"breve lettera","μ→αγαθη τ · ∅→χ · ∅→ετουσ σ · ∅→δ μην · ∅→νω · χ→κ",54,90
ILA-067,cmrdm-i,"CMRDM I 99","Asia Minor",0.701,11,"lettera breve blocco","γ→∅ · λ υαιαι→∅ · δσσδαυυ αλλωνι ιω τα οδοδασχο μ→∅ · ι→∅ · τον εα→∅ · ψι μ ε ια επψιον τον εαυτη→∅",259,143
ILA-250,cmrdm-i,"CMRDM I 263","Asia Minor",0.706,9,"breve lettera","∅→γ ουεττιο · ∅→τ ουεττιοσ κα · ι→∅ · ∅→και παυλα και · ∅→φοι · ∅→συν",87,134
ILA-033,cmrdm-i,"CMRDM I 62","Asia Minor",0.709,12,"lettera breve blocco","φ→ϙ · γ→η · ξ→∅ · ια→∅ · χ→κ · ι υ→μ",903,502
ILA-130,cmrdm-i,"CMRDM I 142","Asia Minor",0.714,1,"breve","∅→πλουτοδωτηι",15,27
ILA-066,cmrdm-i,"CMRDM I 98","Asia Minor",0.725,5,"lettera breve","∅→ι · ∅→ενχωρι · ψψω→∅ · ω→υιτη · ν→∅",33,36
ILA-019,cmrdm-i,"CMRDM I 48","Asia Minor",0.726,3,"breve","τ α ο→∅ · τ ο ο ο τ τ τε λεννν→∅ · τ τ τ ττ τ τ τ→∅",107,61
ILA-272,cmrdm-i,"CMRDM I 285","Asia Minor",0.738,5,"breve lettera","∅→μηνι · ∅→πηκοω ε · ι→∅ · ω→φ · ι→∅",28,37
ILA-240,cmrdm-i,"CMRDM I 252","Asia Minor",0.740,2,"blocco breve","∅→γυναικοσ και τεκνων τεκ · ∅→ορευσασ μ",48,79
ILA-149,cmrdm-i,"CMRDM I 161","Asia Minor",0.740,11,"lettera breve numerale","σ→∅ · ι→∅ · ων→∅ · ε→∅ · κλ κεν λ→∅ · τ τ τ τ τ τ→ο",146,89
ILA-047,cmrdm-i,"CMRDM I 77","Asia Minor",0.741,4,"lettera breve blocco","ο→ω · ∅→κου · ∅→ελεη · ∅→ισ και αμαρτησασ καταπιπτω εισ ασθε",81,116
ILA-267,cmrdm-i,"CMRDM I 280","Asia Minor",0.754,3,"breve blocco lettera","∅→γ καλ · ∅→σιμοσ και γ καλπουρνιοσ ζω · υ→∅",50,80
ILA-102,cmrdm-i,"CMRDM I 69","Asia Minor",0.755,14,"breve lettera blocco","∅→μεγα · ∅→μεσ αξ · ∅→οτ τηνοσ ταρει βασι · χ→κ · απ→∅ · ∅→ψα",215,312
ILA-274,cmrdm-i,"CMRDM I 287","Asia Minor",0.756,8,"breve lettera","∅→ουλιοσ · ∅→αρ · χ→τεκ · ∅→σ · ∅→μετα γυναικο · χ→∅",56,79
ILA-135,cmrdm-i,"CMRDM I 147","Asia Minor",0.758,10,"breve blocco lettera numerale","π λκ→∅ · ενορκω δε μηνα κα→∅ · αχθονιον και θεουσ καταχθονιουσ μ→∅ · δε→∅ · α→∅ · αδικ η→∅",457,279
ILA-168,cmrdm-i,"CMRDM I 180","Asia Minor",0.759,4,"lettera breve","χ→κ · μολω→ρευσα · τ→∅ · ∅→μηνι ευχην",50,58
ILA-178,cmrdm-i,"CMRDM I 190","Asia Minor",0.760,3,"lettera breve","τ→λ · ∅→υκιοσ · ∅→υιοσ",20,30
ILA-260,cmrdm-i,"CMRDM I 273","Asia Minor",0.764,3,"breve blocco","∅→γ νεικανορο · ∅→και νεικανωρ αλεξανδρο · ∅→συ",66,99
ILA-186,cmrdm-i,"CMRDM I 198","Asia Minor",0.765,5,"breve lettera","νε→μ · ξξβεοεεε→ρωσ · ∅→μ · χ→κ · υ→∅",44,37
ILA-289,cmrdm-i,"CMRDM I 22","Italia",0.766,6,"breve lettera","∅→τονυ · ∅→ι · ∅→θ · εευεεεεε→οι · ξξεεεεες→ι · ∅→ια",67,61
ILA-284,cmrdm-i,"CMRDM I 15","Graecia",0.768,10,"lettera breve","χ→κ · υ→∅ · ∅→λαε · σ→χ · η→ρ · οκκθ→ν",59,53
ILA-114,cmrdm-i,"CMRDM I 125","Asia Minor",0.769,5,"lettera breve","ρ→ο · ∅→δεινα τρο · ι→∅ · ω→η · ∅→ι",36,42
ILA-137,cmrdm-i,"CMRDM I 149","Asia Minor",0.769,14,"lettera breve","χ→κ · ν→ι · τλτωω→ιο · ω→∅ · τ→∅ · ∅→μα",130,143
ILA-013,cmrdm-i,"CMRDM I 41","Asia Minor",0.774,6,"breve lettera","∅→τατιανοσ γ · ∅→αυκοσ · ∅→και αμμιανη φιλ · α αν εθοντο ευχομενο→∅ · ει υπερ→∅ · α→∅",141,138
ILA-101,cmrdm-i,"CMRDM I 44","Asia Minor",0.775,15,"lettera breve blocco","α→β · η→αι · η→∅ · δ→∅ · χ→∅ · ∅→ε",561,848
ILA-275,cmrdm-i,"CMRDM I 288","Asia Minor",0.779,5,"lettera breve","υ→ω · ι→∅ · ∅→τα · ∅→γυναικοσ μαρκιασ και · νι→∅",67,82
ILA-117,cmrdm-i,"CMRDM I 128","Asia Minor",0.780,2,"breve lettera","∅→ασ δισ μουσαιου · π→ι",33,49
ILA-165,cmrdm-i,"CMRDM I 177","Asia Minor",0.781,15,"lettera breve","ω→∅ · νο→μ · υ→∅ · οοεο→∅ · υ→ιρρι · υ→∅",130,126
ILA-264,cmrdm-i,"CMRDM I 277","Asia Minor",0.785,4,"breve lettera","τ ο υι→∅ · τ→∅ · χ→∅ · ∅→μνοη και μαρ",52,55
ILA-056,cmrdm-i,"CMRDM I 88","Asia Minor",0.794,11,"lettera breve","ρ→∅ · ιο→∅ · ε τ ετι→∅ · σ→∅ · ι οο οι α ο→∅ · ο→δ",118,96
ILA-251,cmrdm-i,"CMRDM I 264","Asia Minor",0.796,3,"breve lettera blocco","∅→υιοσ · χ→κ · φρουγει τεχμορευσασ νυνι ευχην→∅",106,80
ILA-192,cmrdm-i,"CMRDM I 204","Asia Minor",0.800,6,"lettera breve","ι→∅ · υ→ι · χ→κ · ∅→ου · ∅→ενεμ · ι να ε→∅",46,44
